District,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise,Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Latrine,Households_Urban_Latrine,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
Faridabad,Rural,100,43.2,4.3,58.6,470681.0,87700.0,382981.0,0.43200000000000005,0.0,0.043,0.0,0.5860000000000001,0.0,51392.2,224426.86599999998
Faridabad,Total,100,39.8,2.8,84.0,470681.0,87700.0,382981.0,0.0,0.0,0.0,0.0,0.0,0.0,73668.0,321704.04
Faridabad,Urban,100,39.1,2.4,89.2,470681.0,87700.0,382981.0,0.0,0.391,0.0,0.024,0.0,0.892,78228.4,341619.052
Palwal,Rural,100,51.1,6.3,32.1,249159.0,186069.0,63090.0,0.511,0.0,0.063,0.0,0.321,0.0,59728.149000000005,20251.89
Palwal,Total,100,47.5,5.6,44.4,249159.0,186069.0,63090.0,0.0,0.0,0.0,0.0,0.0,0.0,82614.636,28011.96
Palwal,Urban,100,36.2,3.6,82.8,249159.0,186069.0,63090.0,0.0,0.36200000000000004,0.0,0.036000000000000004,0.0,0.828,154065.13199999998,52238.52
North West,Rural,100,46.6,4.5,64.1,1026867.0,67592.0,959275.0,0.466,0.0,0.045,0.0,0.6409999999999999,0.0,43326.471999999994,614895.2749999999
North West,Total,100,35.0,3.4,84.7,1026867.0,67592.0,959275.0,0.0,0.0,0.0,0.0,0.0,0.0,57250.424,812505.9249999999
North West,Urban,100,34.4,3.3,85.9,1026867.0,67592.0,959275.0,0.0,0.344,0.0,0.033,0.0,0.8590000000000001,58061.528000000006,824017.2250000001
North,Rural,100,25.3,0.9,98.0,301071.0,4512.0,296559.0,0.253,0.0,0.009000000000000001,0.0,0.98,0.0,4421.76,290627.82
North,Total,100,36.9,3.4,90.0,301071.0,4512.0,296559.0,0.0,0.0,0.0,0.0,0.0,0.0,4060.8,266903.10000000003
North,Urban,100,37.1,3.5,89.9,301071.0,4512.0,296559.0,0.0,0.371,0.0,0.035,0.0,0.899,4056.288,266606.541
North East,Rural,100,36.4,2.8,95.0,487581.0,5326.0,482255.0,0.364,0.0,0.027999999999999997,0.0,0.9500000000000001,0.0,5059.7,458142.25
North East,Total,100,35.6,2.0,95.1,487581.0,5326.0,482255.0,0.0,0.0,0.0,0.0,0.0,0.0,5065.026,458624.505
North East,Urban,100,35.6,2.0,95.1,487581.0,5326.0,482255.0,0.0,0.35600000000000004,0.0,0.02,0.0,0.951,5065.026,458624.505
East,Rural,100,6.7,1.2,98.1,462218.0,1086.0,461132.0,0.067,0.0,0.012,0.0,0.981,0.0,1065.366,452370.49199999997
East,Total,100,24.1,1.9,93.4,462218.0,1086.0,461132.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.3240000000001,430697.288
East,Urban,100,24.2,1.9,93.4,462218.0,1086.0,461132.0,0.0,0.242,0.0,0.019,0.0,0.934,1014.3240000000001,430697.288
New Delhi,Total,100,28.8,3.7,77.9,52664.0,0.0,52664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41025.256
New Delhi,Urban,100,28.8,3.7,77.9,52664.0,0.0,52664.0,0.0,0.28800000000000003,0.0,0.037000000000000005,0.0,0.779,0.0,41025.256
Central,Total,100,39.3,3.2,90.8,194897.0,0.0,194897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176966.476
Central,Urban,100,39.3,3.2,90.8,194897.0,0.0,194897.0,0.0,0.39299999999999996,0.0,0.032,0.0,0.908,0.0,176966.476
