District,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise,Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Latrine,Households_Urban_Latrine,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
South Garo Hills,Urban,100,41.9,2.7,87.4,39643.0,35930.0,3713.0000000000005,0.0,0.419,0.0,0.027000000000000003,0.0,0.8740000000000001,31402.820000000003,3245.1620000000007
West Khasi Hills,Rural,100,56.1,9.2,40.8,87131.0,74832.0,12299.0,0.561,0.0,0.092,0.0,0.408,0.0,30531.456,5017.991999999999
West Khasi Hills,Total,100,55.0,8.7,46.4,87131.0,74832.0,12299.0,0.0,0.0,0.0,0.0,0.0,0.0,34722.047999999995,5706.736
West Khasi Hills,Urban,100,46.8,4.6,90.5,87131.0,74832.0,12299.0,0.0,0.46799999999999997,0.0,0.046,0.0,0.905,67722.96,11130.595000000001
Ribhoi,Rural,100,53.9,5.9,64.1,63724.0,57988.0,5736.0,0.539,0.0,0.059000000000000004,0.0,0.6409999999999999,0.0,37170.308,3676.7759999999994
Ribhoi,Total,100,52.3,5.7,66.4,63724.0,57988.0,5736.0,0.0,0.0,0.0,0.0,0.0,0.0,38504.032,3808.704
Ribhoi,Urban,100,34.1,3.1,91.4,63724.0,57988.0,5736.0,0.0,0.341,0.0,0.031000000000000003,0.0,0.914,53001.032,5242.704000000001
East Khasi Hills,Rural,100,52.9,9.3,44.3,215091.0,106248.0,108843.0,0.529,0.0,0.09300000000000001,0.0,0.443,0.0,47067.863999999994,48217.44899999999
East Khasi Hills,Total,100,39.0,5.9,69.2,215091.0,106248.0,108843.0,0.0,0.0,0.0,0.0,0.0,0.0,73523.61600000001,75319.356
East Khasi Hills,Urban,100,23.5,2.1,96.9,215091.0,106248.0,108843.0,0.0,0.23500000000000001,0.0,0.021,0.0,0.9690000000000001,102954.312,105468.86700000001
Jaintia Hills,Rural,100,46.4,8.4,43.6,83717.0,76546.0,7170.999999999999,0.46399999999999997,0.0,0.084,0.0,0.436,0.0,33374.056,3126.5559999999996
Jaintia Hills,Total,100,43.9,7.9,47.7,83717.0,76546.0,7170.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,36512.442,3420.567
Jaintia Hills,Urban,100,14.0,2.1,96.1,83717.0,76546.0,7170.999999999999,0.0,0.14,0.0,0.021,0.0,0.961,73560.70599999999,6891.330999999999
Kokrajhar,Rural,100,55.0,13.0,24.9,222011.0,204896.0,17115.0,0.55,0.0,0.13,0.0,0.249,0.0,51019.104,4261.635
Kokrajhar,Total,100,53.0,12.4,29.2,222011.0,204896.0,17115.0,0.0,0.0,0.0,0.0,0.0,0.0,59829.632,4997.58
Kokrajhar,Urban,100,24.8,4.7,90.1,222011.0,204896.0,17115.0,0.0,0.24800000000000003,0.0,0.047,0.0,0.9009999999999999,184611.29599999997,15420.614999999998
Dhubri,Rural,100,64.2,17.6,39.0,521019.0,460602.00000000006,60416.99999999999,0.642,0.0,0.17600000000000002,0.0,0.39,0.0,179634.78000000003,23562.629999999997
Dhubri,Total,100,61.6,17.0,43.3,521019.0,460602.00000000006,60416.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,199440.66600000003,26160.560999999998
Dhubri,Urban,100,39.8,12.2,80.1,521019.0,460602.00000000006,60416.99999999999,0.0,0.39799999999999996,0.0,0.122,0.0,0.8009999999999999,368942.202,48394.01699999999
Goalpara,Rural,100,60.4,12.6,62.1,268114.0,342068.83946488297,39504.0,0.604,0.0,0.126,0.0,0.621,0.0,212424.7493076923,24531.984
Goalpara,Total,100,58.4,11.9,65.5,268114.0,342068.83946488297,39504.0,0.0,0.0,0.0,0.0,0.0,0.0,224055.08984949836,25875.120000000003
Goalpara,Urban,100,46.4,8.0,85.0,268114.0,342068.83946488297,39504.0,0.0,0.46399999999999997,0.0,0.08,0.0,0.85,290758.5135451505,33578.4
Barpeta,Rural,100,63.2,18.8,69.8,499381.0,447189.00000000006,52191.99999999999,0.632,0.0,0.188,0.0,0.698,0.0,312137.922,36430.015999999996
Barpeta,Total,100,60.5,17.7,71.9,499381.0,447189.00000000006,52191.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,321528.89100000006,37526.048
Barpeta,Urban,100,33.8,7.4,92.8,499381.0,447189.00000000006,52191.99999999999,0.0,0.33799999999999997,0.0,0.07400000000000001,0.0,0.9279999999999999,414991.39200000005,48434.17599999999
Morigaon,Rural,100,62.5,14.8,57.2,257481.0,232206.0,25275.0,0.625,0.0,0.14800000000000002,0.0,0.5720000000000001,0.0,132821.83200000002,14457.300000000001
Morigaon,Total,100,60.7,14.3,60.1,257481.0,232206.0,25275.0,0.0,0.0,0.0,0.0,0.0,0.0,139555.80599999998,15190.275
Morigaon,Urban,100,42.8,9.2,90.3,257481.0,232206.0,25275.0,0.0,0.428,0.0,0.092,0.0,0.903,209682.018,22823.325
Nagaon,Rural,100,59.3,13.8,72.0,799185.0,674999.0,124185.99999999999,0.593,0.0,0.138,0.0,0.72,0.0,485999.27999999997,89413.91999999998
Nagaon,Total,100,57.1,12.6,75.3,799185.0,674999.0,124185.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,508274.247,93512.05799999999
Nagaon,Urban,100,43.7,5.9,95.2,799185.0,674999.0,124185.99999999999,0.0,0.43700000000000006,0.0,0.059000000000000004,0.0,0.9520000000000001,642599.0480000001,118225.072
Sonitpur,Rural,100,58.1,10.2,55.0,547853.0,483325.0,64528.0,0.5810000000000001,0.0,0.102,0.0,0.55,0.0,265828.75,35490.4
Sonitpur,Total,100,55.4,9.6,59.2,547853.0,483325.0,64528.0,0.0,0.0,0.0,0.0,0.0,0.0,286128.4,38200.57600000001
Sonitpur,Urban,100,32.2,4.5,95.0,547853.0,483325.0,64528.0,0.0,0.322,0.0,0.045,0.0,0.9500000000000001,459158.75,61301.6
Lakhimpur,Rural,100,64.8,9.7,53.7,327933.0,293239.0,34694.0,0.648,0.0,0.09699999999999999,0.0,0.537,0.0,157469.34300000002,18630.678
Lakhimpur,Total,100,61.9,9.2,58.0,327933.0,293239.0,34694.0,0.0,0.0,0.0,0.0,0.0,0.0,170078.62,20122.519999999997
Lakhimpur,Urban,100,37.7,5.5,94.7,327933.0,293239.0,34694.0,0.0,0.37700000000000006,0.0,0.055,0.0,0.9470000000000001,277697.33300000004,32855.218
Dhemaji,Rural,100,66.2,10.0,40.3,228262.0,211758.0,16504.0,0.662,0.0,0.1,0.0,0.40299999999999997,0.0,85338.47399999999,6651.111999999999
Dhemaji,Total,100,64.7,9.7,44.8,228262.0,211758.0,16504.0,0.0,0.0,0.0,0.0,0.0,0.0,94867.58399999999,7393.7919999999995
Dhemaji,Urban,100,48.3,7.2,95.6,228262.0,211758.0,16504.0,0.0,0.483,0.0,0.07200000000000001,0.0,0.956,202440.648,15777.823999999999
Tinsukia,Rural,100,56.0,5.0,77.3,381614.0,290704.0,90910.0,0.56,0.0,0.05,0.0,0.773,0.0,224714.192,70273.43000000001
Tinsukia,Total,100,51.9,5.0,81.1,381614.0,290704.0,90910.0,0.0,0.0,0.0,0.0,0.0,0.0,235760.944,73728.01
Tinsukia,Urban,100,37.1,5.0,94.5,381614.0,290704.0,90910.0,0.0,0.371,0.0,0.05,0.0,0.9450000000000001,274715.27999999997,85909.95
Dibrugarh,Rural,100,54.2,5.7,74.2,377015.0,299852.0,77163.0,0.542,0.0,0.057,0.0,0.742,0.0,222490.184,57254.945999999996
Dibrugarh,Total,100,49.3,5.4,78.7,377015.0,299852.0,77163.0,0.0,0.0,0.0,0.0,0.0,0.0,235983.524,60727.281
Dibrugarh,Urban,100,29.7,4.1,96.4,377015.0,299852.0,77163.0,0.0,0.297,0.0,0.040999999999999995,0.0,0.9640000000000001,289057.32800000004,74385.13200000001
Sivasagar,Rural,100,60.3,6.1,71.9,405229.0,360182.0,45047.0,0.603,0.0,0.061,0.0,0.7190000000000001,0.0,258970.85800000004,32388.793000000005
Sivasagar,Total,100,57.7,5.9,74.2,405229.0,360182.0,45047.0,0.0,0.0,0.0,0.0,0.0,0.0,267255.044,33424.873999999996
Sivasagar,Urban,100,36.4,3.9,93.2,405229.0,360182.0,45047.0,0.0,0.364,0.0,0.039,0.0,0.932,335689.624,41983.804000000004
Jorhat,Rural,100,60.9,8.1,58.9,367154.0,286330.0,80824.0,0.609,0.0,0.081,0.0,0.589,0.0,168648.37,47605.335999999996
Jorhat,Total,100,55.2,7.2,66.7,367154.0,286330.0,80824.0,0.0,0.0,0.0,0.0,0.0,0.0,190982.11000000002,53909.608
Jorhat,Urban,100,35.3,4.0,94.2,367154.0,286330.0,80824.0,0.0,0.353,0.0,0.04,0.0,0.9420000000000001,269722.86000000004,76136.208
Golaghat,Rural,100,64.0,7.9,65.1,327083.0,292893.0,34190.0,0.64,0.0,0.079,0.0,0.6509999999999999,0.0,190673.34299999996,22257.69
Golaghat,Total,100,61.5,7.5,68.4,327083.0,292893.0,34190.0,0.0,0.0,0.0,0.0,0.0,0.0,200338.812,23385.960000000003
Golaghat,Urban,100,38.7,4.2,97.7,327083.0,292893.0,34190.0,0.0,0.387,0.0,0.042,0.0,0.9770000000000001,286156.461,33403.63
Karbi Anglong,Rural,100,65.1,4.3,48.5,252876.0,215691.0,37185.0,0.6509999999999999,0.0,0.043,0.0,0.485,0.0,104610.135,18034.725
Karbi Anglong,Total,100,63.3,4.2,54.8,252876.0,215691.0,37185.0,0.0,0.0,0.0,0.0,0.0,0.0,118198.66799999999,20377.379999999997
Karbi Anglong,Urban,100,52.0,3.6,94.5,252876.0,215691.0,37185.0,0.0,0.52,0.0,0.036000000000000004,0.0,0.9450000000000001,203827.995,35139.825
Dima Hasao,Rural,100,62.4,4.5,57.1,58919.0,37610.0,21309.0,0.624,0.0,0.045,0.0,0.5710000000000001,0.0,21475.31,12167.439000000002
Dima Hasao,Total,100,57.0,4.1,69.4,58919.0,37610.0,21309.0,0.0,0.0,0.0,0.0,0.0,0.0,26101.340000000004,14788.446000000002
Dima Hasao,Urban,100,45.2,3.3,96.6,58919.0,37610.0,21309.0,0.0,0.452,0.0,0.033,0.0,0.966,36331.26,20584.494
Cachar,Rural,100,56.9,12.2,77.6,435160.0,346227.0,88933.0,0.569,0.0,0.122,0.0,0.7759999999999999,0.0,268672.15199999994,69012.00799999999
Cachar,Total,100,53.2,11.1,81.0,435160.0,346227.0,88933.0,0.0,0.0,0.0,0.0,0.0,0.0,280443.87,72035.73000000001
Cachar,Urban,100,37.2,6.1,95.8,435160.0,346227.0,88933.0,0.0,0.37200000000000005,0.0,0.061,0.0,0.958,331685.466,85197.814
Karimganj,Rural,100,57.6,14.9,83.7,294640.0,261944.99999999997,32695.0,0.5760000000000001,0.0,0.149,0.0,0.8370000000000001,0.0,219247.965,27365.715000000004
Karimganj,Total,100,55.6,14.3,85.0,294640.0,261944.99999999997,32695.0,0.0,0.0,0.0,0.0,0.0,0.0,222653.24999999997,27790.75
Karimganj,Urban,100,36.1,8.7,97.4,294640.0,261944.99999999997,32695.0,0.0,0.36100000000000004,0.0,0.087,0.0,0.9740000000000001,255134.43,31844.930000000004
Hailakandi,Rural,100,59.5,16.8,81.9,175417.0,159215.0,16202.000000000002,0.595,0.0,0.168,0.0,0.8190000000000001,0.0,130397.085,13269.438000000002
Hailakandi,Total,100,57.4,16.1,83.1,175417.0,159215.0,16202.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,132307.665,13463.862000000001
Hailakandi,Urban,100,30.5,7.6,98.1,175417.0,159215.0,16202.000000000002,0.0,0.305,0.0,0.076,0.0,0.981,156189.915,15894.162000000002
Bongaigaon,Rural,100,64.3,12.5,49.2,220393.0,181923.0,38470.0,0.643,0.0,0.125,0.0,0.49200000000000005,0.0,89506.11600000001,18927.24
Bongaigaon,Total,100,58.4,11.1,56.4,220393.0,181923.0,38470.0,0.0,0.0,0.0,0.0,0.0,0.0,102604.57199999999,21697.079999999998
Bongaigaon,Urban,100,29.0,4.3,91.6,220393.0,181923.0,38470.0,0.0,0.29,0.0,0.043,0.0,0.9159999999999999,166641.468,35238.52
Chirang,Rural,100,57.5,10.9,24.0,140631.0,129018.0,11613.0,0.5750000000000001,0.0,0.109,0.0,0.24,0.0,30964.32,2787.12
Chirang,Total,100,56.1,11.2,28.7,140631.0,129018.0,11613.0,0.0,0.0,0.0,0.0,0.0,0.0,37028.166,3332.9309999999996
Chirang,Urban,100,39.5,14.8,84.9,140631.0,129018.0,11613.0,0.0,0.395,0.0,0.14800000000000002,0.0,0.8490000000000001,109536.282,9859.437000000002
Kamrup,Rural,100,59.1,12.3,57.0,434445.0,390596.0,43849.0,0.5910000000000001,0.0,0.12300000000000001,0.0,0.5700000000000001,0.0,222639.71999999997,24993.929999999997
Kamrup,Total,100,57.7,11.9,59.2,434445.0,390596.0,43849.0,0.0,0.0,0.0,0.0,0.0,0.0,231232.83200000002,25958.608000000004
Kamrup,Urban,100,45.1,8.5,78.7,434445.0,390596.0,43849.0,0.0,0.451,0.0,0.085,0.0,0.787,307399.052,34509.163
Kamrup Metropolitan,Rural,100,52.4,10.1,64.7,428192.0,61334.0,366858.0,0.524,0.0,0.10099999999999999,0.0,0.647,0.0,39683.098,237357.12600000002
Kamrup Metropolitan,Total,100,31.0,4.8,92.3,428192.0,61334.0,366858.0,0.0,0.0,0.0,0.0,0.0,0.0,56611.282,338609.93399999995
Kamrup Metropolitan,Urban,100,27.3,3.9,97.0,428192.0,61334.0,366858.0,0.0,0.273,0.0,0.039,0.0,0.97,59493.979999999996,355852.26
Nalbari,Rural,100,61.0,9.5,63.7,238944.0,210706.0,28238.0,0.61,0.0,0.095,0.0,0.637,0.0,134219.722,17987.606
Nalbari,Total,100,59.0,9.4,66.7,238944.0,210706.0,28238.0,0.0,0.0,0.0,0.0,0.0,0.0,140540.902,18834.746000000003
Nalbari,Urban,100,43.3,8.5,90.1,238944.0,210706.0,28238.0,0.0,0.433,0.0,0.085,0.0,0.9009999999999999,189846.10599999997,25442.438
Baksa,Rural,100,64.3,11.2,38.7,295221.0,291641.0,3579.9999999999995,0.643,0.0,0.11199999999999999,0.0,0.387,0.0,112865.06700000001,1385.4599999999998
Baksa,Total,100,64.2,11.2,39.4,295221.0,291641.0,3579.9999999999995,0.0,0.0,0.0,0.0,0.0,0.0,114906.55399999999,1410.5199999999998
Baksa,Urban,100,53.2,7.5,94.1,295221.0,291641.0,3579.9999999999995,0.0,0.532,0.0,0.075,0.0,0.941,274434.181,3368.7799999999993
Darrang,Rural,100,57.6,17.8,47.6,288706.0,268517.0,20189.0,0.5760000000000001,0.0,0.17800000000000002,0.0,0.47600000000000003,0.0,127814.092,9609.964
Darrang,Total,100,56.0,17.2,50.6,288706.0,268517.0,20189.0,0.0,0.0,0.0,0.0,0.0,0.0,135869.602,10215.634
Darrang,Urban,100,34.4,8.6,91.8,288706.0,268517.0,20189.0,0.0,0.344,0.0,0.086,0.0,0.918,246498.60599999997,18533.501999999997
Udalguri,Rural,100,59.9,10.7,41.5,281625.0,267790.0,172714.75617792422,0.599,0.0,0.107,0.0,0.41500000000000004,0.0,111132.84999999999,71676.62381383855
Udalguri,Total,100,58.6,10.5,43.9,281625.0,267790.0,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,117559.81,75821.77796210874
Udalguri,Urban,100,35.3,7.2,89.8,281625.0,267790.0,172714.75617792422,0.0,0.353,0.0,0.07200000000000001,0.0,0.898,240475.42,155097.85104777597
Darjiling,Rural,100,54.2,8.0,52.3,518959.0,303284.0,215675.0,0.542,0.0,0.08,0.0,0.523,0.0,158617.532,112798.02500000001
Darjiling,Total,100,45.5,7.0,65.7,518959.0,303284.0,215675.0,0.0,0.0,0.0,0.0,0.0,0.0,199257.58800000002,141698.475
Darjiling,Urban,100,31.7,5.3,87.0,518959.0,303284.0,215675.0,0.0,0.317,0.0,0.053,0.0,0.87,263857.08,187637.25
Jalpaiguri,Rural,100,57.8,16.0,37.1,1117804.0,798378.0,172714.75617792422,0.578,0.0,0.16,0.0,0.371,0.0,296198.238,64077.17454200989
Jalpaiguri,Total,100,52.0,14.5,49.7,1117804.0,798378.0,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,396793.86600000004,85839.23382042834
Jalpaiguri,Urban,100,37.2,10.5,82.3,1117804.0,798378.0,172714.75617792422,0.0,0.37200000000000005,0.0,0.105,0.0,0.823,657065.0939999999,142144.24433443163
Koch Bihar,Rural,100,57.7,12.6,55.7,900738.0,803407.0,172714.75617792422,0.5770000000000001,0.0,0.126,0.0,0.557,0.0,447497.699,96202.1191911038
Koch Bihar,Total,100,55.2,12.1,59.2,900738.0,803407.0,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,475616.9440000001,102247.13565733115
Koch Bihar,Urban,100,33.9,7.9,90.3,900738.0,803407.0,172714.75617792422,0.0,0.33899999999999997,0.0,0.079,0.0,0.903,725476.5210000001,155961.4248286656
Uttar Dinajpur,Rural,100,57.9,12.4,20.6,778250.0,683981.0,94269.0,0.579,0.0,0.12400000000000001,0.0,0.20600000000000002,0.0,140900.086,19419.414
Uttar Dinajpur,Total,100,55.8,12.6,27.5,778250.0,683981.0,94269.0,0.0,0.0,0.0,0.0,0.0,0.0,188094.77500000002,25923.975000000002
Uttar Dinajpur,Urban,100,40.0,14.6,80.6,778250.0,683981.0,94269.0,0.0,0.4,0.0,0.146,0.0,0.8059999999999999,551288.686,75980.814
Dakshin Dinajpur,Rural,100,57.6,11.9,27.5,461026.0,390949.0,70077.0,0.5760000000000001,0.0,0.11900000000000001,0.0,0.275,0.0,107510.975,19271.175000000003
Dakshin Dinajpur,Total,100,54.2,11.5,36.8,461026.0,390949.0,70077.0,0.0,0.0,0.0,0.0,0.0,0.0,143869.232,25788.336
Dakshin Dinajpur,Urban,100,34.3,9.3,91.6,461026.0,390949.0,70077.0,0.0,0.34299999999999997,0.0,0.09300000000000001,0.0,0.9159999999999999,358109.284,64190.53199999999
Maldah,Rural,100,59.0,11.3,25.4,958996.0,830318.0,172714.75617792422,0.59,0.0,0.113,0.0,0.254,0.0,210900.772,43869.54806919275
Maldah,Total,100,57.6,10.9,31.7,958996.0,830318.0,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,263210.806,54750.57770840198
Maldah,Urban,100,48.5,8.3,74.3,958996.0,830318.0,172714.75617792422,0.0,0.485,0.0,0.083,0.0,0.743,616926.274,128327.06384019769
Murshidabad,Rural,100,56.1,17.0,34.7,1851965.0,1501066.0,350899.0,0.561,0.0,0.17,0.0,0.34700000000000003,0.0,520869.90200000006,121761.95300000001
Murshidabad,Total,100,54.7,16.0,39.5,1851965.0,1501066.0,350899.0,0.0,0.0,0.0,0.0,0.0,0.0,592921.0700000001,138605.105
Murshidabad,Urban,100,48.5,11.6,61.8,1851965.0,1501066.0,350899.0,0.0,0.485,0.0,0.11599999999999999,0.0,0.618,927658.788,216855.582
Birbhum,Rural,100,52.0,15.6,18.7,965609.0,831044.0,134565.0,0.52,0.0,0.156,0.0,0.187,0.0,155405.228,25163.655
Birbhum,Total,100,50.2,14.8,24.1,965609.0,831044.0,134565.0,0.0,0.0,0.0,0.0,0.0,0.0,200281.60400000002,32430.165
Birbhum,Urban,100,37.3,9.3,61.6,965609.0,831044.0,134565.0,0.0,0.373,0.0,0.09300000000000001,0.0,0.616,511923.104,82892.04
Barddhaman,Rural,100,51.8,9.4,46.1,2227236.0,1364868.0,862368.0,0.518,0.0,0.094,0.0,0.461,0.0,629204.148,397551.64800000004
Barddhaman,Total,100,46.7,8.3,55.7,2227236.0,1364868.0,862368.0,0.0,0.0,0.0,0.0,0.0,0.0,760231.476,480338.976
Barddhaman,Urban,100,38.2,6.3,71.5,2227236.0,1364868.0,862368.0,0.0,0.38200000000000006,0.0,0.063,0.0,0.715,975880.62,616593.12
Nadia,Rural,100,53.9,15.6,71.3,1549771.0,1081381.0,468389.99999999994,0.539,0.0,0.156,0.0,0.713,0.0,771024.6529999999,333962.06999999995
Nadia,Total,100,50.3,14.1,77.6,1549771.0,1081381.0,468389.99999999994,0.0,0.0,0.0,0.0,0.0,0.0,839151.656,363470.6399999999
Nadia,Urban,100,41.2,10.6,93.3,1549771.0,1081381.0,468389.99999999994,0.0,0.41200000000000003,0.0,0.106,0.0,0.9329999999999999,1008928.4729999999,437007.86999999994
North Twenty Four Parganas,Rural,100,46.3,19.7,78.9,2859140.0,1209337.0,1649803.0,0.46299999999999997,0.0,0.197,0.0,0.789,0.0,954166.893,1301694.567
North Twenty Four Parganas,Total,100,39.0,11.6,87.5,2859140.0,1209337.0,1649803.0,0.0,0.0,0.0,0.0,0.0,0.0,1058169.875,1443577.625
North Twenty Four Parganas,Urban,100,33.4,5.4,94.0,2859140.0,1209337.0,1649803.0,0.0,0.334,0.0,0.054000000000000006,0.0,0.9400000000000001,1136776.78,1550814.8199999998
Hugli,Rural,100,45.5,11.7,60.1,1640038.0,992085.0,647953.0,0.455,0.0,0.11699999999999999,0.0,0.601,0.0,596243.085,389419.75299999997
Hugli,Total,100,40.9,9.2,71.2,1640038.0,992085.0,647953.0,0.0,0.0,0.0,0.0,0.0,0.0,706364.52,461342.536
Hugli,Urban,100,33.7,5.3,88.8,1640038.0,992085.0,647953.0,0.0,0.337,0.0,0.053,0.0,0.888,880971.48,575382.264
Bankura,Rural,100,52.4,11.7,16.5,991400.0,900515.0,90885.0,0.524,0.0,0.11699999999999999,0.0,0.165,0.0,148584.975,14996.025000000001
Bankura,Total,100,51.2,11.5,20.3,991400.0,900515.0,90885.0,0.0,0.0,0.0,0.0,0.0,0.0,182804.545,18449.655000000002
Bankura,Urban,100,38.8,8.9,60.4,991400.0,900515.0,90885.0,0.0,0.38799999999999996,0.0,0.08900000000000001,0.0,0.604,543911.0599999999,54894.54
Puruliya,Rural,100,62.7,7.4,6.1,752652.0,653219.0,99433.0,0.627,0.0,0.07400000000000001,0.0,0.061,0.0,39846.359,6065.413
Puruliya,Total,100,60.2,7.3,11.8,752652.0,653219.0,99433.0,0.0,0.0,0.0,0.0,0.0,0.0,77079.842,11733.094000000001
Puruliya,Urban,100,43.5,6.7,50.9,752652.0,653219.0,99433.0,0.0,0.435,0.0,0.067,0.0,0.509,332488.471,50611.397
Haora,Rural,100,40.4,13.9,60.2,1352697.0,483384.0,869312.9999999999,0.40399999999999997,0.0,0.139,0.0,0.6020000000000001,0.0,290997.168,523326.4259999999
Haora,Total,100,37.1,9.2,74.7,1352697.0,483384.0,869312.9999999999,0.0,0.0,0.0,0.0,0.0,0.0,361087.848,649376.8109999999
Haora,Urban,100,35.2,6.5,83.5,1352697.0,483384.0,869312.9999999999,0.0,0.35200000000000004,0.0,0.065,0.0,0.835,403625.63999999996,725876.3549999999
Kolkata,Total,100,30.9,2.7,94.9,1308106.0,0.0,1308106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241392.594
Kolkata,Urban,100,30.9,2.7,94.9,1308106.0,0.0,1308106.0,0.0,0.309,0.0,0.027000000000000003,0.0,0.9490000000000001,0.0,1241392.594
South Twenty Four Parganas,Rural,100,49.9,16.2,55.0,2180232.0,1568802.0,172714.75617792422,0.499,0.0,0.162,0.0,0.55,0.0,862841.1000000001,94993.11589785833
South Twenty Four Parganas,Total,100,46.9,14.0,62.6,2180232.0,1568802.0,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,982070.052,108119.43736738057
South Twenty Four Parganas,Urban,100,38.5,8.1,83.1,2180232.0,1568802.0,172714.75617792422,0.0,0.385,0.0,0.081,0.0,0.831,1303674.4619999998,143525.96238385502
Paschim Medinipur,Rural,100,52.2,13.2,41.9,1565383.0,1364335.0,201048.0,0.522,0.0,0.132,0.0,0.419,0.0,571656.365,84239.112
Paschim Medinipur,Total,100,49.8,12.6,46.1,1565383.0,1364335.0,201048.0,0.0,0.0,0.0,0.0,0.0,0.0,628958.435,92683.128
Paschim Medinipur,Urban,100,32.8,8.3,77.2,1565383.0,1364335.0,201048.0,0.0,0.32799999999999996,0.0,0.083,0.0,0.772,1053266.62,155209.056
Purba Medinipur,Rural,100,49.0,18.1,85.6,1363713.0,1193006.0,172714.75617792422,0.49,0.0,0.18100000000000002,0.0,0.856,0.0,1021213.1359999999,147843.83128830313
Purba Medinipur,Total,100,47.5,17.2,85.3,1363713.0,1193006.0,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,1017634.118,147325.68701976936
Purba Medinipur,Urban,100,34.8,10.1,82.8,1363713.0,1193006.0,172714.75617792422,0.0,0.348,0.0,0.10099999999999999,0.0,0.828,987808.968,143007.81811532125
Garhwa,Rural,100,62.4,4.6,4.9,292052.0,272872.0,172714.75617792422,0.624,0.0,0.046,0.0,0.049,0.0,13370.728000000001,8463.023052718287
Garhwa,Total,100,61.4,4.7,7.1,292052.0,272872.0,172714.75617792422,0.0,0.0,0.0,0.0,0.0,0.0,19373.911999999997,12262.747688632619
Garhwa,Urban,100,44.5,6.8,46.3,292052.0,272872.0,172714.75617792422,0.0,0.445,0.0,0.068,0.0,0.46299999999999997,126339.73599999999,79966.93211037891
Chatra,Rural,100,57.5,4.5,6.6,215502.0,200974.0,14528.0,0.5750000000000001,0.0,0.045,0.0,0.066,0.0,13264.284000000001,958.8480000000001
Chatra,Total,100,56.8,4.5,10.1,215502.0,200974.0,14528.0,0.0,0.0,0.0,0.0,0.0,0.0,20298.374,1467.328
Chatra,Urban,100,46.4,4.1,65.7,215502.0,200974.0,14528.0,0.0,0.46399999999999997,0.0,0.040999999999999995,0.0,0.657,132039.918,9544.896
Kodarma,Rural,100,52.3,4.2,7.6,151485.0,116714.00000000001,34771.0,0.523,0.0,0.042,0.0,0.076,0.0,8870.264000000001,2642.596
Kodarma,Total,100,50.7,4.4,16.5,151485.0,116714.00000000001,34771.0,0.0,0.0,0.0,0.0,0.0,0.0,19257.810000000005,5737.215
Kodarma,Urban,100,44.7,5.4,50.3,151485.0,116714.00000000001,34771.0,0.0,0.44700000000000006,0.0,0.054000000000000006,0.0,0.503,58707.14200000001,17489.813
Giridih,Rural,100,53.6,3.1,5.8,499450.0,452564.00000000006,46886.0,0.536,0.0,0.031000000000000003,0.0,0.057999999999999996,0.0,26248.712000000003,2719.388
Giridih,Total,100,52.1,3.1,10.8,499450.0,452564.00000000006,46886.0,0.0,0.0,0.0,0.0,0.0,0.0,48876.91200000001,5063.688000000001
Giridih,Urban,100,37.0,3.4,61.3,499450.0,452564.00000000006,46886.0,0.0,0.37,0.0,0.034,0.0,0.613,277421.732,28741.118
Deoghar,Rural,100,60.6,5.1,5.5,321710.0,257373.0,64337.0,0.606,0.0,0.051,0.0,0.055,0.0,14155.515,3538.535
Deoghar,Total,100,56.5,5.0,16.4,321710.0,257373.0,64337.0,0.0,0.0,0.0,0.0,0.0,0.0,42209.17199999999,10551.267999999998
Deoghar,Urban,100,37.4,4.2,68.3,321710.0,257373.0,64337.0,0.0,0.374,0.0,0.042,0.0,0.6829999999999999,175785.759,43942.170999999995
Godda,Rural,100,62.7,9.2,7.9,292030.0,276454.0,15576.0,0.627,0.0,0.092,0.0,0.079,0.0,21839.866,1230.504
Godda,Total,100,61.5,9.0,10.5,292030.0,276454.0,15576.0,0.0,0.0,0.0,0.0,0.0,0.0,29027.67,1635.48
Godda,Urban,100,36.8,4.2,64.9,292030.0,276454.0,15576.0,0.0,0.368,0.0,0.042,0.0,0.649,179418.646,10108.824
Sahibganj,Rural,100,65.1,7.3,9.2,260993.0,223450.0,37543.0,0.6509999999999999,0.0,0.073,0.0,0.092,0.0,20557.4,3453.956
Sahibganj,Total,100,62.6,7.3,15.3,260993.0,223450.0,37543.0,0.0,0.0,0.0,0.0,0.0,0.0,34187.85,5744.079
