District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Kanpur Nagar,364869,214542,25175,86109,684906,265058,32875,583539
Jalaun,304856,174682,8840,86274,91565,37633,3204,69223
Jhansi,309592,146746,6191,64085,195321,64260,3711,139849
Lalitpur,258013,136230,6966,30961,43819,15862,1139,27562
Mahoba,198298,100537,3371,35297,48525,23631,776,26543
Banda,378056,199991,4158,75611,67569,23784,1148,49663
Chitrakoot,207237,108799,3730,24453,23558,11001,636,13828
Fatehpur,558807,320755,31851,102261,77733,31792,3342,56045
Kaushambi,349856,193120,15393,48280,30764,13197,1353,15812
Allahabad,983266,479833,45230,153389,265304,80917,7693,222855
Bara Banki,635840,323642,75664,83930,79068,31231,6957,53608
Faizabad,510378,262334,47465,74004,79288,28622,3885,60417
Ambedkar Nagar,501559,232723,49654,69716,65031,27313,6373,35376
Sultanpur,839737,418189,72217,110005,49891,14817,2195,36370
Bahraich,698520,430986,60072,73344,61742,25931,3519,49084
Shrawasti,248770,139808,16916,25872,8504,3189,850,5357
Balrampur,410070,232509,27474,41827,35768,14486,1466,25717
Gonda,673578,344198,76114,53212,52794,17158,2322,40704
Siddharthnagar,480165,215113,31690,49937,33348,11805,1734,15640
Basti,513960,207125,51396,67328,31065,11090,2112,22397
Sant Kabir Nagar,324972,141037,33147,39971,27179,10300,1739,13507
Mahrajganj,573046,294545,50428,95698,34033,13374,1973,19875
Gorakhpur,761958,356596,67814,141724,189170,59777,6999,152092
Kushinagar,742324,414959,63097,109863,42775,16553,4020,26648
Deoria,597778,277966,50811,99828,67928,22823,4483,42387
Azamgarh,891024,430364,80192,149692,80434,30082,3860,51960
Mau,352207,166241,35572,61988,99321,43800,6753,63068
Ballia,564927,269470,72310,125413,64454,23267,5994,39316
Jaunpur,926088,426926,66678,142617,80582,35858,3545,57857
Ghazipur,700173,358488,72817,130232,61467,23603,4487,40260
Chandauli,344937,169019,23455,64848,50822,18702,2337,35168
Varanasi,438935,208933,29408,118951,316129,113174,11064,281354
Sant Ravidas Nagar (Bhadohi),293510,140004,18197,36982,45997,20238,2621,25574
Mirzapur,465152,240018,22327,89309,77963,31730,2728,53404
Sonbhadra,337048,188072,6066,46175,91040,31317,4278,64365
Etah,334246,189183,23397,30750,67752,29404,2100,53049
Kanshiram Nagar,271234,166808,24139,30378,72490,36317,3189,55744
Pashchim Champaran,839514,531412,41136,96544,96620,50145,7149,52078
Purba Champaran,1142260,639665,63966,177050,101565,43571,5789,54845
Sheohar,158484,94456,5388,31379,7516,3382,601,2773
Sitamarhi,807294,473881,50052,150963,49670,20762,3228,30050
Madhubani,1047552,532156,49234,181226,41234,17606,2927,22884
Supaul,572287,355390,28042,52078,27815,14408,2169,13017
Araria,659061,424435,24385,44157,44213,21443,2829,24007
Kishanganj,401793,249915,14062,24911,43357,20117,3425,22502
Purnia,712847,464063,36355,61304,85749,39530,8317,50677
Katihar,668232,414303,33411,84865,69838,29541,4958,47839
Madhepura,486278,311217,30149,54949,24000,11016,2088,12312
Saharsa,432651,278194,28554,54081,38046,16397,2815,25719
Darbhanga,907174,478987,73481,189599,95539,38215,8598,64011
Muzaffarpur,998694,603211,83890,218713,120700,43693,8207,93059
Gopalganj,515925,273956,41274,93382,38133,15100,2326,19371
Siwan,632514,294751,51866,127767,41858,14399,2553,29886
Saran,701323,360480,61015,124835,76299,31664,6027,45016
Vaishali,699317,397911,86015,174829,51494,22966,5458,31926
Samastipur,1012979,599683,98258,172206,43486,16785,2826,30527
Begusarai,594377,339389,68947,151566,139248,60572,13646,80346
Khagaria,373696,219733,33258,81092,21007,9936,1512,13927
Bhagalpur,522527,307245,45982,131154,130634,55911,10058,93664
Banka,425604,257490,28941,47242,18492,8672,943,8284
Munger,222281,130256,17560,58015,85782,33626,5747,63650
Lakhisarai,175882,103594,13542,47136,31763,16612,2668,19566
Sheikhpura,108293,64975,10179,26315,24345,10882,1801,12708
Nalanda,514141,306428,48843,117224,102522,42854,7279,75456
Patna,657991,384266,59877,181605,552103,171151,28709,477569
Bhojpur,434559,251175,37806,89084,77368,31798,6344,53074
Buxar,299252,169975,31421,59850,35405,14020,3115,23792
Kaimur (Bhabua),325143,196061,21134,47145,15299,5125,703,10739
Rohtas,512383,295644,32792,108112,95678,39993,5645,65443
Aurangabad,428291,247552,28267,73666,49006,20141,2646,33324
Aurangabad,428291,247552,28267,73666,427343,175637,23076,290593
Aurangabad,428291,247552,28267,73666,49006,11075,686,42831
Aurangabad,428291,247552,28267,73666,427343,96579,5982,373497
Aurangabad,551789,318934,36418,94907,49006,20141,2646,33324
Aurangabad,551789,318934,36418,94907,427343,175637,23076,290593
Aurangabad,551789,318934,36418,94907,49006,11075,686,42831
Aurangabad,551789,318934,36418,94907,427343,96579,5982,373497
Aurangabad,428291,170031,34263,84801,49006,20141,2646,33324
Aurangabad,428291,170031,34263,84801,427343,175637,23076,290593
Aurangabad,428291,170031,34263,84801,49006,11075,686,42831
Aurangabad,428291,170031,34263,84801,427343,96579,5982,373497
Aurangabad,551789,219060,44143,109254,49006,20141,2646,33324
Aurangabad,551789,219060,44143,109254,427343,175637,23076,290593
Aurangabad,551789,219060,44143,109254,49006,11075,686,42831
Aurangabad,551789,219060,44143,109254,427343,96579,5982,373497
Gaya,696289,437269,55006,114887,111282,40061,5230,86577
Nawada,379551,236460,39093,65662,45323,17993,2900,31408
Jamui,325909,209233,26072,38783,30851,15086,2622,15086
Jehanabad,186660,114235,16986,41625,28132,11027,1941,19045
Arwal,134334,83152,10478,30225,9960,5149,607,3884
North  District,11543,5228,427,8657,2066,419,37,2010
West District,32091,16558,2535,26988,1886,290,124,1684
South District,31135,14104,1836,26433,8163,1248,73,7991
East District,40626,16900,3046,34857,41512,7638,705,39394
Tawang,10730,5032,439,7446,2452,613,14,2390
West Kameng,17889,8640,447,6958,0,0,0,0
East Kameng,14503,8440,377,3190,5215,2466,130,3337
Papum Pare,20308,8996,812,11128,30180,9476,1056,27675
Upper Subansiri,14542,9146,363,5002,4672,1798,56,3975
West Siang,22272,9176,178,15835,8503,2550,178,8128
East Siang,19497,5459,292,9241,9524,5371,409,8638
Upper Siang,8569,2502,34,4824,2182,1036,24,1749
Changlang,33422,16644,568,21824,6498,2488,51,5932
Tirap,18420,7975,184,15767,6500,3068,97,5973
Lower Subansiri,18112,7281,271,12334,5365,1314,37,5284
Kurung Kumey,18603,8315,2325,4371,1092,542,55,880
Dibang Valley,2055,1021,147,1329,1175,573,65,965
Lower Dibang Valley,12000,6324,384,5760,3950,1275,146,3499
Lohit,33599,18177,2015,16631,11372,5310,409,10143
Anjaw,6025,3181,361,1668,428,292,0,274
Mon,43607,27908,610,27341,7415,3611,415,6984
Mokokchung,37536,12799,187,36147,17742,5854,124,17475
Zunheboto,31267,13820,531,22418,6044,2181,12,5705
Wokha,38499,19865,384,22906,8170,1772,16,7900
Dimapur,49116,21954,1571,44990,62853,21747,1319,60841
Phek,38903,21163,933,29332,7295,2837,29,6828
Tuensang,40690,22379,1383,20263,9451,5094,292,8392
Longleng,12686,8385,279,8753,2451,1561,137,1855
Kiphire,16032,9170,160,5867,4290,1192,17,4088
Kohima,31845,10699,191,16623,44255,14117,840,40714
Peren,20204,10708,181,15577,4073,2488,85,3783
Senapati,38008,22690,836,27555,1826,1157,32,1782
Tamenglong,23982,13573,2014,15924,4119,2253,428,3983
Churachandpur,52972,28392,1218,43595,4853,2547,111,4794
Bishnupur,34977,12137,2063,31864,21172,6372,868,19986
Thoubal,65961,22096,3627,60486,38302,10264,1991,36042
Imphal West,51055,16899,2705,46970,85746,26152,3772,82916
Imphal East,64421,23449,2963,58558,46520,14653,1488,44426
Ukhrul,36084,25403,1876,29011,5806,3274,243,5579
Chandel,30377,17740,1245,23420,3783,1539,590,3665
Mamit,16726,8312,986,13899,4129,883,41,4075
Kolasib,9669,4554,212,9253,12507,4815,300,12081
Aizawl,20570,7117,349,20035,80341,13336,562,79778
Champhai,18395,8866,882,17456,12717,5646,190,12386
Serchhip,7472,3885,463,7203,8018,3736,769,7969
Lunglei,21479,10696,837,17290,17315,4640,138,16830
Lawngtlai,21993,10930,1143,13305,5273,1824,84,5183
Saiha,7043,2281,366,6127,5784,1660,133,5645
West Tripura,289621,119903,11584,246757,217016,69879,7812,212892
South Tripura,219171,94024,9862,181035,44906,12304,1616,44007
Dhalai,89457,42492,6440,59399,14071,5628,1266,13564
North Tripura,150437,72811,12486,122606,42184,14511,2995,40918
West Garo Hills,139351,68281,7664,78454,18594,6340,1171,17459
East Garo Hills,62698,30659,2257,49719,11518,4872,138,11137
South Garo Hills,35930,18396,1437,22779,3713,1555,100,3245
West Khasi Hills,74832,41980,6884,30531,12299,5755,565,11130
Ribhoi,57988,31255,3421,37170,5736,1955,177,5242
East Khasi Hills,106248,56205,9881,47067,108843,25578,2285,105468
Jaintia Hills,76546,35517,6429,33374,7171,1003,150,6891
Kokrajhar,204896,112692,26636,51019,17115,4244,804,15420
Dhubri,460602,295706,81065,179634,60417,24045,7370,48394
Goalpara,228610,138080,28804,141966,39504,18329,3160,33578
Barpeta,447189,282623,84071,312137,52192,17640,3862,48434
Morigaon,232206,145128,34366,132821,25275,10817,2325,22823
Nagaon,674999,400274,93149,485999,124186,54269,7326,118225
Sonitpur,483325,280811,49299,265828,64528,20778,2903,61301
Lakhimpur,293239,190018,28444,157469,34694,13079,1908,32855
Dhemaji,211758,140183,21175,85338,16504,7971,1188,15777
Tinsukia,290704,162794,14535,224714,90910,33727,4545,85909
Dibrugarh,299852,162519,17091,222490,77163,22917,3163,74385
Sivasagar,360182,217189,21971,258970,45047,16397,1756,41983
Jorhat,286330,174374,23192,168648,80824,28530,3232,76136
Golaghat,292893,187451,23138,190673,34190,13231,1435,33403
Karbi Anglong,215691,140414,9274,104610,37185,19336,1338,35139
Dima Hasao,37610,23468,1692,21475,21309,9631,703,20584
Cachar,346227,197003,42239,268672,88933,33083,5424,85197
Karimganj,261945,150880,39029,219247,32695,11802,2844,31844
Hailakandi,159215,94732,26748,130397,16202,4941,1231,15894
Bongaigaon,181923,116976,22740,89506,38470,11156,1654,35238
Chirang,129018,74185,14062,30964,11613,4587,1718,9859
Kamrup,390596,230842,48043,222639,43849,19775,3727,34509
Kamrup Metropolitan,61334,32139,6194,39683,366858,100152,14307,355852
Nalbari,210706,128530,20017,134219,28238,12227,2400,25442
Baksa,291641,187525,32663,112865,3580,1904,268,3368
Darrang,268517,154665,47796,127814,20189,6945,1736,18533
Udalguri,267790,160406,28653,111132,13835,4883,996,12423
Darjiling,303284,164379,24262,158617,215675,68368,11430,187637
Jalpaiguri,798378,461462,127740,296198,319426,118826,33539,262887
Koch Bihar,803407,463565,101229,447497,97331,32995,7689,87889
Uttar Dinajpur,683981,396024,84813,140900,94269,37707,13763,75980
Dakshin Dinajpur,390949,225186,46522,107510,70077,24036,6517,64190
Maldah,830318,489887,93825,210900,128678,62408,10680,95607
Murshidabad,1501066,842098,255181,520869,350899,170186,40704,216855
Birbhum,831044,432142,129642,155405,134565,50192,12514,82892
